12,1946,1,3,21,22,0,1946-02-06,R/1/394,1,1,COUNCIL MEMBER TERM LENGTH,"TO ADOPT PARAGRAPH (A) OF THE 6TH COMM. DRAFT RESOLUTION  A/38) ON TERMS OF OFFICE OF MEMBERS OF UN COUNCILS, WHICH  PARAGRAPH AMENDS PROVISIONAL RULE 78 BY BEGINNING THE TERM OF OFFICE IMMEDIATELY UPON ELECTION TO A VACANT SEAT, OR IMMEDIATELY",0,0,0,0,0,0,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1946,1,2,10,31,0,1946-02-01,R/1/434,1,1,"PROPAGANDA,  REFUGEE CAMPS",TO ADOPT USSR AMMENDMENT (A/C.3/19) TO A 3RD COMM. DRAFT RESOLUTION (A/45) REFERRING THE PROBLEM OF REFUGEES AND DISPLACED PERSONS TO E.S.C. FOR STUDY AND RECOMMENDATIONS. SAID AMENDMENT WOULD INSERT A NEW SUB-PARAGRAPH C(IV) READING:  \NO PROP,0,0,0,0,0,0,0,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1946,1,5,7,30,0,1946-02-01,R/1/435,1,1,"PERSONNEL, REFUGEE CAMPS","TO ADOPT A USSR AMENDMENT (A/C.3/19) TO 3RD COMM. DRAFT RESOLUTION (A/45), SAID AMENDMENT ADDING A NEW SUB-PARAGRAPH C(V) AS FOLLOWS:  \THE ADMINISTRATIVE PERSONNEL OF REFUGEE AND DISPLACED PERSONS' CAMPS SHOULD BE COMPRISED PRIMARILY OF REPRES",0,0,0,0,0,0,0,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1946,1,6,10,26,0,1946-02-01,R/1/435,1,1,"QUISLINGS, TRAITORS AND WAR CRIMINALS","TO ADOPT USSR REVISED-AMENDMENT (A/C.3/19) TO 3RD COMM. DRAFT RESOLUTION (A/45), SAID AMENDMENT ADDING THE FOLLOWING TEXT TO PARAGRAPH (D):  \QUISLINGS, TRAITORS AND WAR CRIMINALS SHOULD NOT BE REGARDED AS REFUGEES WHO ARE ENTITLED TO GET PROTE",0,0,0,0,0,0,0,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1946,1,7,7,34,0,1946-02-02,R/1/467,1,0,TERM OF COUNCIL MEMBERS,"TO ADOPT URUGUAY (ORAL) AMENDMENT TO THE GENERAL COMM. DRAFT RESOLUTION (A/51) PROVIDING FOR A 20-MONTH TERM OF OFFICE FOR UN COUNCIL MEMBERS ELECTED IN JAN. 1946 UNDER THE PROVISIONAL RULES OF PROCEDURE, SAID AMENDMENT PRESCRIBING INSTEAD AN 8",0,0,0,0,0,0,0,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1946,1,2,27,19,0,1946-02-02,R/1/467B,1,0,TERM OF COUNCIL MEMBERS,"TO ADOPT NEW ZEALAND (ORAL) AMENDMENT TO GENERAL COMM DRAFT RESOLUTION(A/51) PROVIDING FOR A 20-MONTH TERM OF OFFICE FOR COUNCIL MEMBERS ELECTED IN JAN. 1946, SAID AMENDMENT PRESCRIBING INSTEAD A 12-MONTH TERM OF OFFICE.",0,0,0,0,0,0,0,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1946,1,9,12,26,0,1946-02-03,R/1/532,1,0,ECOSOC CONSULTANTS,TO ADOPT USSR (ORAL) AMENDMENT REPLACING THE 1ST COMM. DRAFT RESOLUTION (A/54/REV.1) WITH THE FOLLOWING:  \TAKING INTO CONSIDERATION THE QUESTION RAISED BY THE WORLD FEDERATION OF TRADE UNIONS CONCERNING ITS PARTICIPATION IN THE WORK OF THE ECO,0,0,0,0,0,1,0,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1946,1,11,32,6,0,1946-02-03,R/1/534,0,0,ECOSOC CONSULTANTS,"TO ADOPT THE 1ST COMM. DRAFT RESOLUTION (A/54/REV.1) PROVIDING THAT THE E.S.C. ARRANGE FOR CONSULTATIVE COLLABORATION WITH NON-GOVERNMENTAL ORGANIZATIONS, INTERNATIONAL, NATIONAL OR REGIONAL.",0,0,0,0,0,1,0,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1946,1,1,29,24,0,1946-12-01,R/1/1060,0,0,INDIANS IN SOUTH AFRICA,TO REQUIRE 2/3 MAJORITY RULE IN VOTING ON THE QUESTION OF TREATMENT OF INDIANS IN THE UNION OF SOUTH AFRICA.,0,0,0,0,0,0,0,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1946,1,2,21,31,0,1946-12-01,R/1/1061A,1,0,INDIANS IN SOUTH AFRICA,"TO ADOPT S. AFRICA AMENDMENT (A/205/ADD.1) TO JOINT 1ST/6TH COMM. DRAFT RESOLUTION (A/205), PROVIDING THAT THE TREATMENT OF INDIANS IN SOUTH AFRICA SHOULD BE IN CONFORMITYWITH INTERNATIONAL OBLIGATIONS PROVIDED UNDER THE CHARTER AND BY AGREEMEN",0,0,0,0,0,0,0,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1946,1,7,32,15,0,1946-12-01,R/1/1061B,0,0,INDIANS IN SOUTH AFRICA,TO ADOPT JOINT 1ST/6TH COMM. DRAFT RESOLUTION (A/205) PROVIDING THAT THE TREATMENT OF INDIANS IN SOUTH AFRICA SHOULD BE IN CONFORMITY WITH INTERNATIONAL OBLIGATIONS PROVIDED UNDER THE CHARTER AND BY AGREEMENTS BETWEEN INDIA AND SOUTH AFRICA.,0,0,0,0,0,0,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1946,1,13,34,6,0,1946-12-05,R/1/1222,0,0,"U.N. MEMBERS, RELATIONS WITH SPAIN","TO ADOPT WHOLE 1ST COMM. DRAFT RESOLUTION (A/241) RECOMMENDING THE SECURITY COUNCIL TO CONSIDER ADEQUATE REMEDIAL MEASURES, IF THERE SHOULD NOT BE ESTABLISHED IN SPAIN WITHIN A REASONABLE PERIOD OF TIME A FREELY-ELECTED, FULLY-REPRESENTATIVE DE",0,0,0,0,0,0,0,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1946,1,9,36,4,0,1946-12-05,R/1/1229,0,0,ECOSOC ELECTIONS,"TO ADOPT BELGIAN ORAL PROPOSAL TO SURRENDER BELGIUM'S SEAT IN THE E.S.C., PROVIDING THAT THE NETHERLANDS AND TURKEY BE THEREBY ELECTED TO THE 2 REMAINING VACANCIES.",0,0,0,0,0,1,0,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1946,1,9,36,6,0,1946-12-06,R/1/1264,0,0,SECURITY COUNCIL PROCEDURES,TO ADOPT 1ST COMM. DRAFT RESOLUTION (A/235) REQUESTING MODERATED USE OF THE VETO IN THE SECURITY COUNCIL THROUGH CONSULTATION BETWEEN PERMANENT MEMBERS AND RECOMMENDING ADOPTION BY SAID COUNCIL OF PRACTICES AND PROCEDURES DIMINISHING THE DEFECT,0,0,0,0,0,0,0,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1946,1,11,6,34,0,1946-12-06,R/1/1286,0,0,TRUSTEESHIP AGREEMENTS,"TO ADOPT USSR ORAL RESOL. REJECTING 8 DRAFT TRUSTEESHIP AGREEMENTS (A/258 AND ADD. 1 AND CORR. 2, CORR. 3, AND REV. 1) SUBMITTED TO THE ASSEMBLY BY ADMINISTERING POWERS AS BEING CONTRARY TO THE REQUIREMENTS OF THE CHARTER CONCERNING THE INTERNA",0,0,0,0,1,0,0,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1946,1,5,41,6,0,1946-12-06,R/1/1287/A,0,0,NEW GUINEA TRUSTEESHIP,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR NEW GUINEA SUBMITTED BY AUSTRALIA, ON THE BASIS OF 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1) WHICH APPROVES EACH OF THE 8 TRUSTEESHIP AGREEMENTS.",0,0,0,0,1,0,1,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1946,1,5,41,6,0,1946-12-06,R/1/1287/B,0,0,RUANDA-URUNDI TRUSTEESHIP,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR RUANDA-URUNDI SUBMITTED BY BELGIUM, INCLUDING THE PROPOSAL ON THE PREAMBLE.  THE AGREEMENT INCLUDING PROPOSAL IS APPROVED BY THE 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV. 1)",0,0,0,0,1,0,1,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1946,1,6,41,5,0,1946-12-06,R/1/1287C,0,0,FRENCH CAMEROONS TRUSTEESHIP,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR THE FRENCH CAMEROONS  SUBMITTED BY FRANCE, INCLUDING THE PROPOSAL ON THE PREAMBLE. THE AGREEMENT AND PROPOSAL ARE APPROVED BY THE 4TH COM. COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1).",0,0,0,0,1,0,0,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1946,1,6,41,5,0,1946-12-06,R/1/1288A,0,0,FRENCH TOGOLAND TRUSTEESHIP,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR FRENCH TOGOLAND SUBMITTED BY FRANCE; SAID AGREEMENT APPROVED IN 4TH COMM DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3 AND REV.1).",0,0,0,0,1,0,0,1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1946,1,5,41,6,0,1946-12-06,GOAR/1/1288B,0,0,WESTERN SAMOA TRUSTEESHIP,"TO ADOPT TRUSTEESHIP AGREEMENT FOR WESTERN SAMOA SUBMITTED BY NEW ZEALAND; SAID AGREEMENT WAS APPROVED IN 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, AND REV.1).",0,0,0,0,1,0,0,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1946,1,5,41,6,0,1946-12-06,R/1/1288C,0,0,TANGANYIKA TRUSTEESHIP,"TO ADOPT TRUSTEESHIP AGREEMENT FOR TANGANYIKA SUBMITTED BY THE U.K.; AGREEMENT WAS APPROVED IN 4TH COMMITTEE DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1).",0,0,0,0,1,0,1,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1946,1,5,41,6,0,1946-12-06,R/1/1288D,0,0,BRITISH CAMEROONS TRUSTEESHIP,"TO ADOPT TRUSTEESHIP AGREEMENT FOR THE BRITISH CAMEROONS SUBMITTED BY THE U.K., APPROVED IN A 4TH COMM. DRAFT RESOLUTION (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1).",0,0,0,0,1,0,1,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1946,1,5,41,6,0,1946-12-06,R/1/1288E,0,0,BRITISH TOGOLAND TRUSTEESHIP,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR BRITISH TOGOLAND SUBMITTED BY THE U.K.; AGREEMENT WAS APPROVED IN 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1).",0,0,0,0,1,0,1,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
